price_open,price_high,price_low,price_close,volume_traded,trades_count,time_close,time_open,time_period_start,time_period_end,market_cap
271.43,272.16,269.34,272.0,1225.3746383,482,2015-10-18T07:59:51.0000000Z,2015-10-18T04:02:45.0000000Z,2015-10-18T04:02:00.000000Z,2015-10-18T08:00:00.0000000Z,4149673849.9923563
272.06,273.15,269.32,269.95,1679.9269304400007,518,2015-10-18T11:59:40.0000000Z,2015-10-18T08:00:02.0000000Z,2015-10-18T08:00:00.000000Z,2015-10-18T12:00:00.0000000Z,4118398734.57881
269.5,269.85,263.3,264.05,7301.825799540003,2226,2015-10-18T15:59:51.0000000Z,2015-10-18T12:01:00.0000000Z,2015-10-18T12:01:00.000000Z,2015-10-18T16:00:00.0000000Z,4028387426.803241
264.06,266.65,263.46,265.24,2006.0079140499997,789,2015-10-18T19:59:50.0000000Z,2015-10-18T16:00:05.0000000Z,2015-10-18T16:00:00.000000Z,2015-10-18T20:00:00.0000000Z,4046542249.896958
265.25,265.5,264.0,265.01,1089.2818471799997,450,2015-10-18T23:59:50.0000000Z,2015-10-18T20:00:04.0000000Z,2015-10-18T20:00:00.000000Z,2015-10-19T00:00:00.0000000Z,4043033334.509097
265.29,266.99,265.02,266.97,1508.1010555300004,687,2015-10-19T03:59:50.0000000Z,2015-10-19T00:00:36.0000000Z,2015-10-19T00:00:00.000000Z,2015-10-19T04:00:00.0000000Z,3910982698.145157
266.99,268.28,262.35,264.41,2143.0899725200006,833,2015-10-19T07:59:50.0000000Z,2015-10-19T04:01:28.0000000Z,2015-10-19T04:01:00.000000Z,2015-10-19T08:00:00.0000000Z,3873479923.648953
264.49,265.0,263.05,264.7,1457.1807456899994,584,2015-10-19T11:59:50.0000000Z,2015-10-19T08:00:05.0000000Z,2015-10-19T08:00:00.000000Z,2015-10-19T12:00:00.0000000Z,3877728284.822351
264.71,266.7,263.71,265.53,2146.26982295,792,2015-10-19T15:59:51.0000000Z,2015-10-19T12:00:05.0000000Z,2015-10-19T12:00:00.000000Z,2015-10-19T16:00:00.0000000Z,3889887387.4910407
265.73,266.16,263.84,264.52,2364.626591490001,576,2015-10-19T19:59:41.0000000Z,2015-10-19T16:00:44.0000000Z,2015-10-19T16:00:00.000000Z,2015-10-19T20:00:00.0000000Z,3875091370.990586
264.52,265.27,263.51,265.1,1284.1509807899993,466,2015-10-19T23:59:41.0000000Z,2015-10-19T20:00:05.0000000Z,2015-10-19T20:00:00.000000Z,2015-10-20T00:00:00.0000000Z,3883588093.337383
