date,open,high,low,close,volume,market_cap
2013-05-31T08:03:00.000000Z,127.74,128.5,127,127.97,274.92486526,1473622272.47702
2013-05-31T12:01:00.000000Z,128.13,128.41,127,127.77,79.1009246,1471319197.89317
2013-05-31T16:13:00.000000Z,127.76,129.1,126,127.4,1404.80024108,1467058509.91304
2013-05-31T20:00:00.000000Z,127.5,128.37,126.5,127.9,239.9656418,1472816196.37267
2013-06-01T00:00:00.000000Z,127.9,128.61,127.1,128.45,143.25595408,1436295450.72854
2013-06-01T04:00:00.000000Z,128.5,128.5,127.47,128.25,102.2892776,1434059101.2529
2013-06-01T08:01:00.000000Z,128.25,129,127.6,128.85,158.02770904,1440768149.67981
2013-06-01T12:01:00.000000Z,128.85,128.85,127.11,127.6,156.5348356,1426790965.45708
2013-06-01T16:06:00.000000Z,127,128.77,127,128.75,175.1132751,1439649974.942
2013-06-01T20:00:00.000000Z,128.74,128.83,127.8,128.79,212.7484383,1440097244.83712
2013-06-02T00:02:00.000000Z,128.78,128.984,128.05,128.25,247.8259312,1434059101.2529
2013-06-02T04:00:00.000000Z,128.25,128.4,120,125.44,3740.52444176,1402638391.12019
2013-06-02T08:00:00.000000Z,124.99,125.1,120,121,2125.37157498,1352991432.76102
2013-06-02T12:00:00.000000Z,121.11,123.04,117,122,3068.8527993,1364173180.13921
2013-06-02T16:00:00.000000Z,122,132.65,119.9,121.15,2144.07798401,1354668694.86775
2013-06-02T20:00:00.000000Z,121.15,124.1,120,120,1311.717774,1341809685.38283
2013-06-03T00:08:00.000000Z,120,121.11,119.36,120.26,537.9551963,1344716939.70116
2013-06-03T04:02:00.000000Z,119.8,120.38,117,118.9,453.7976524,1329509763.26682
2013-06-03T08:02:00.000000Z,119.03,131.12,117.1,118.64,777.03970415,1326602508.94849
2013-06-03T12:02:00.000000Z,118.4,132.44,118.3,122.01,1266.9303729,1364284997.61299
2013-06-03T16:00:00.000000Z,121.61,132.87,119.89,121.3,370.30577466,1356345956.97448
2013-06-03T20:00:00.000000Z,121.75,123.99,121,123.03,604.09341103,1375690379.93875
2013-06-04T00:04:00.000000Z,123.58,123.78,120.5,121.1,775.02849983,1354109607.49884
2013-06-04T04:01:00.000000Z,122.06,123.29,121.6,122.87,369.6862159,1373901300.35824
2013-06-04T08:01:00.000000Z,122.5,122.85,116.42,118.8,3081.1332921,1328391588.529
2013-06-04T12:05:00.000000Z,118.73,122,118,120,443.34889282,1341809685.38283
2013-06-04T16:00:00.000000Z,120.38,121.5,119.7,120.19,280.40502585,1343934217.38469
2013-06-04T20:02:00.000000Z,120.09,121.5,119.9,120.02,185.3939291,1342033320.33039
2013-06-05T00:16:00.000000Z,120.9,121.07,120.24,120.24975,73.6769838,1344602326.79053
2013-06-05T04:44:00.000000Z,120,120.6,119.6,120.5,176.24398592,1347400559.07193
2013-06-05T08:43:00.000000Z,120,120.56,119.9,120.08,85.0479147,1342704225.17309
2013-06-05T12:00:00.000000Z,119.9,122.37,119.9,121.5,723.41905456,1358582306.45012
2013-06-05T16:02:00.000000Z,121.5,121.98,120.5,120.9,215.3730892,1351873258.0232
2013-06-05T20:01:00.000000Z,120.67,121.33,119.99,120.16,126.67802338,1343598764.96334
2013-06-06T00:05:00.000000Z,120.06,120.76,119.75,120.71,403.40848233,1349748726.02135
2013-06-06T04:33:00.000000Z,121.08,121.08,119.97,120.6,119.64548483,1348518733.80974
2013-06-06T08:37:00.000000Z,120.5,120.7,119.95,120.62,40.47575091,1348742368.75731
2013-06-06T12:09:00.000000Z,120.09,120.71,119.77,120,123.44276705,1341809685.38283
2013-06-06T16:36:00.000000Z,119.66,121,119,119.3,178.55822442,1333982462.2181
2013-06-06T20:02:00.000000Z,119.2,120.06994,118,118.09,425.1365662,1320452547.89049
2013-06-07T00:00:00.000000Z,118.09,118.7,116.75,117.1,559.01751478,1406124197.30942
2013-06-07T04:05:00.000000Z,117.02,118.11,116.3,116.67,137.47718709,1400960803.58744
2013-06-07T08:14:00.000000Z,116.64,117.5,110.11,112.2,5390.16437348,1347285524.66368
2013-06-07T12:00:00.000000Z,112.2,115.1,107,111.31,2044.57770698,1336598500.44843
2013-06-07T16:02:00.000000Z,111.29,112.6,110,110.28,873.88603664,1324230371.30045
2013-06-07T20:01:00.000000Z,110.29,111.96,109.9,110.02,685.17875492,1321108319.28251
2013-06-08T00:04:00.000000Z,110,110.75,108.74,110.75,252.33942472,1329874080.71749
2013-06-08T04:04:00.000000Z,110.81,112.5,109.03,109.24,406.00608266,1311742163.2287
2013-06-08T08:00:00.000000Z,109.23,111.1,108.5,109.7,542.22387323,1317265793.72197
2013-06-08T12:03:00.000000Z,109.22,110,108.45,110,352.63590067,1320868161.43498
2013-06-08T16:00:00.000000Z,110,110,108.58,109.72,197.17799114,1317505951.56951
2013-06-08T20:04:00.000000Z,109.49,109.77,108.8,108.8,88.85935708,1306458690.58296
2013-06-09T00:00:00.000000Z,108.8,110,105,106.43,1630.38654585,1293262841.9712
2013-06-09T04:01:00.000000Z,105.26,105.99,91,97.5,5134.73357554,1184751734.4
2013-06-09T08:00:00.000000Z,97.51,97.51,89.9,95.99,2573.59809704,1166403271.6416
2013-06-09T12:00:00.000000Z,95.52,98.96,92,98.03,2726.71829092,1191191923.3152
2013-06-09T16:00:00.000000Z,98.04,103,94.2,101.91,2179.83959598,1238338966.6944
2013-06-09T20:00:00.000000Z,101.9,103.5,97.05,97.4,2364.18789029,1183536604.416
2013-06-10T00:01:00.000000Z,97.2,105,93,103.6,4558.50785109,1258874663.424
2013-06-10T04:00:00.000000Z,103.77,108,103,105,1596.09438334,1275886483.2
2013-06-10T08:00:00.000000Z,105.1,106.23,101.13,102.49,609.88240704,1245386720.6016
2013-06-10T12:00:00.000000Z,101.95,105.97,99.5,103.5,1022.82590827,1257659533.44
2013-06-10T16:00:00.000000Z,103,105.3,102.36,105.01,688.99226533,1276007996.1984
2013-06-10T20:00:00.000000Z,105.06,105.59,103.9,105,381.15748312,1275886483.2
2013-06-11T00:00:00.000000Z,104.5,105.8,103.4,104.31,367.06689883,1148118809.91736
2013-06-11T04:12:00.000000Z,104.36,107.5,104,106.58,674.99615709,1173104235.07805
2013-06-11T08:01:00.000000Z,106.56,107.06,104.93,106.65,395.98006789,1173874710.7438
2013-06-11T12:00:00.000000Z,106.5,108.01,105.57,107.75,905.43560234,1185982185.49128
2013-06-11T16:05:00.000000Z,107.8,108.03,105.94405,107.07,656.1049218,1178497564.73829
2013-06-11T20:00:00.000000Z,107.06,107.99,106.51,107.01,198.14018086,1177837157.02479
2013-06-12T00:00:00.000000Z,107,108.05,106.31,107.28,172.71976119,1219113390.0516
2013-06-12T04:07:00.000000Z,107.7,108.23,106.66,107.99,228.03713256,1227181720.65317
2013-06-12T08:14:00.000000Z,107.46,119,106.5,109.5,1452.50974463,1244341127.9889
2013-06-12T12:04:00.000000Z,108.97,111.18,108.08,109.12,604.72674652,1240022866.54018
2013-06-12T16:02:00.000000Z,109.65,109.66,105,107.22,1589.88243776,1218431559.29653
2013-06-12T20:00:00.000000Z,107.11,108,105.5,107.25,973.73069365,1218772474.67406
2013-06-13T00:27:00.000000Z,107.44,109.14,107.22,108.01,293.43276308,1227408997.57152
2013-06-13T04:04:00.000000Z,108.29,108.41,107.3,108.41,119.63788842,1231954535.9386
2013-06-13T08:03:00.000000Z,108.39,108.39,107,107,207.99670291,1215931513.19464
2013-06-13T12:03:00.000000Z,106.81,107.5,104.95504,107.06,622.66058024,1216613343.9497
2013-06-13T16:07:00.000000Z,106.41,107.90779,99.9,99.9,1851.25564255,1135248207.17892
2013-06-13T20:00:00.000000Z,100,103.51,95,100.8,3196.51971608,1145475668.50485
2013-06-14T00:07:00.000000Z,100.49,102.44,98,99.94,914.91021405,1135702761.01563
2013-06-14T04:10:00.000000Z,100.47,103.1,100.32,102,752.52987461,1159112283.6061
2013-06-14T08:01:00.000000Z,102,102.14,98,100.33,1506.13837428,1140134660.92353
2013-06-14T12:01:00.000000Z,99.15,101.18,98.56,99.6,849.3661491,1131839053.40361
2013-06-14T16:02:00.000000Z,99.72,107.36,97,98,342.1801728,1113656899.93528
2013-06-14T20:01:00.000000Z,98.02,99.79,96.22,98.34,144.9344411,1117520607.5473
2013-06-15T00:00:00.000000Z,98.34,99.99,98,99.28,160.3093891,1120933669.25173
2013-06-15T04:08:00.000000Z,98.96,100,97.1,98.39,482.5100259,1110885009.24332
2013-06-15T08:13:00.000000Z,98.88,104,98.88,100.75,1258.95169786,1137530894.20942
2013-06-15T12:00:00.000000Z,100.25,100.94,99.97002,99.97002,146.41342995,1128724429.22813
2013-06-15T16:08:00.000000Z,100.5,100.7,99.42,100.7,163.9813685,1136966362.74828
2013-06-15T20:01:00.000000Z,100.6,100.62,99.42,99.98,126.59407107,1128837109.70777
2013-06-16T00:35:00.000000Z,99.99,100.08,99.43,99.46,249.0179776,1122965982.51185
2013-06-16T04:02:00.000000Z,99.4,100.67,99.4,100.67,125.4150224,1136627643.87159
2013-06-16T08:03:00.000000Z,100.82,101.1,99.25,99.99,64.2437047,1128950016
2013-06-16T12:05:00.000000Z,99.96,101.1,99.45,100.44,218.3896784,1134030799.15032
2013-06-16T16:02:00.000000Z,100.47,100.53,99.1,99.8,322.2081921,1126804796.44764
2013-06-16T20:00:00.000000Z,99.8,99.91,98.66,98.78,229.6513644,1115288354.64026
2013-06-17T00:01:00.000000Z,98.9,99.921,98.3,98.97,298.5263235,1117433574.19262
2013-06-17T04:04:00.000000Z,99.41,100.53,99,100,59.71501,1129062922.29223
